日期,買賣權別,身份別,未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2017/6/15,CALL,自營商,-55525,-99075
2017/6/15,CALL,投信,60,-508
2017/6/15,CALL,外資及陸資,135042,331332
2017/6/15,PUT,自營商,7556,110412
2017/6/15,PUT,投信,0,-9
2017/6/15,PUT,外資及陸資,176342,189525
2017/6/16,CALL,自營商,-41212,-31035
2017/6/16,CALL,投信,60,-802
2017/6/16,CALL,外資及陸資,138313,425923
2017/6/16,PUT,自營商,1226,67497
2017/6/16,PUT,投信,0,-1
2017/6/16,PUT,外資及陸資,177237,136872
2017/6/19,CALL,自營商,-40860,-49727
2017/6/19,CALL,投信,60,-996
2017/6/19,CALL,外資及陸資,136540,586047
2017/6/19,PUT,自營商,-25651,43120
2017/6/19,PUT,投信,0,-1
2017/6/19,PUT,外資及陸資,177296,102304
2017/6/20,CALL,自營商,-31091,-82103
2017/6/20,CALL,投信,60,-813
2017/6/20,CALL,外資及陸資,151789,829357
2017/6/20,PUT,自營商,-59217,30700
2017/6/20,PUT,投信,0,0
2017/6/20,PUT,外資及陸資,179852,84190
2017/6/21,CALL,自營商,-12812,-59584
2017/6/21,CALL,投信,0,-218
2017/6/21,CALL,外資及陸資,83089,364008
2017/6/21,PUT,自營商,-4966,-19258
2017/6/21,PUT,投信,0,-144
2017/6/21,PUT,外資及陸資,68698,77458
2017/6/22,CALL,自營商,-12528,-75782
2017/6/22,CALL,投信,0,-276
2017/6/22,CALL,外資及陸資,89429,432963
2017/6/22,PUT,自營商,18726,2674
2017/6/22,PUT,投信,0,-109
2017/6/22,PUT,外資及陸資,80013,87891
2017/6/23,CALL,自營商,-13700,-68525
2017/6/23,CALL,投信,0,-258
2017/6/23,CALL,外資及陸資,92728,410364
2017/6/23,PUT,自營商,29032,-22208
2017/6/23,PUT,投信,0,-118
2017/6/23,PUT,外資及陸資,83743,100531
2017/6/26,CALL,自營商,-15265,-177107
2017/6/26,CALL,投信,0,-499
2017/6/26,CALL,外資及陸資,94460,735704
2017/6/26,PUT,自營商,15159,45734
2017/6/26,PUT,投信,0,-61
2017/6/26,PUT,外資及陸資,80933,78844
2017/6/27,CALL,自營商,-14788,-254962
2017/6/27,CALL,投信,0,-490
2017/6/27,CALL,外資及陸資,92726,701747
2017/6/27,PUT,自營商,32948,64399
2017/6/27,PUT,投信,0,-57
2017/6/27,PUT,外資及陸資,80553,80842
2017/6/28,CALL,自營商,-29941,-161189
2017/6/28,CALL,投信,0,-332
