期貨名稱,日期,到期月,開盤價,收盤價,每日結算價,未平倉合約數,無風險利率
TX201705 台指 2017/05,2017/4/24,2017/05,"9,747","9,705","9,706","86,630",1.045
TX201706 台指 2017/06,2017/4/24,2017/06,"9,729","9,690","9,690","6,869",1.045
TX201709 台指 2017/09,2017/4/24,2017/09,"9,370","9,332","9,332","2,733",1.045
TX201712 台指 2017/12,2017/4/24,2017/12,"9,349","9,295","9,295","1,961",1.045
TX201803 台指 2018/03,2017/4/24,2018/03,"9,307","9,261","9,261",501,1.045
TX201705 台指 2017/05,2017/4/25,2017/05,"9,746","9,813","9,814","88,368",1.045
TX201706 台指 2017/06,2017/4/25,2017/06,"9,735","9,800","9,800","8,056",1.045
TX201709 台指 2017/09,2017/4/25,2017/09,"9,386","9,440","9,440","3,063",1.045
TX201712 台指 2017/12,2017/4/25,2017/12,"9,347","9,410","9,410","2,240",1.045
TX201803 台指 2018/03,2017/4/25,2018/03,"9,303","9,370","9,370",545,1.045
TX201705 台指 2017/05,2017/4/26,2017/05,"9,855","9,841","9,842","88,047",1.045
TX201706 台指 2017/06,2017/4/26,2017/06,"9,845","9,827","9,828","7,650",1.045
TX201709 台指 2017/09,2017/4/26,2017/09,"9,483","9,463","9,463","3,631",1.045
TX201712 台指 2017/12,2017/4/26,2017/12,"9,462","9,428","9,429","2,351",1.045
TX201803 台指 2018/03,2017/4/26,2018/03,"9,408","9,395","9,395",591,1.045
TX201705 台指 2017/05,2017/4/27,2017/05,"9,829","9,839","9,838","88,742",1.045
TX201706 台指 2017/06,2017/4/27,2017/06,"9,819","9,827","9,826","7,747",1.045
TX201709 台指 2017/09,2017/4/27,2017/09,"9,440","9,458","9,458","3,911",1.045
TX201712 台指 2017/12,2017/4/27,2017/12,"9,422","9,427","9,427","2,538",1.045
TX201803 台指 2018/03,2017/4/27,2018/03,"9,380","9,393","9,393",672,1.045
TX201705 台指 2017/05,2017/4/28,2017/05,"9,847","9,857","9,856","88,286",1.045
TX201706 台指 2017/06,2017/4/28,2017/06,"9,834","9,843","9,842","7,667",1.045
TX201709 台指 2017/09,2017/4/28,2017/09,"9,459","9,475","9,473","4,589",1.045
TX201712 台指 2017/12,2017/4/28,2017/12,"9,428","9,437","9,437","2,846",1.045
TX201803 台指 2018/03,2017/4/28,2018/03,"9,399","9,404","9,404","1,123",1.045
TX201705 台指 2017/05,2017/5/2,2017/05,"9,899","9,932","9,930","92,910",1.045
TX201706 台指 2017/06,2017/5/2,2017/06,"9,880","9,917","9,917","8,238",1.045
TX201709 台指 2017/09,2017/5/2,2017/09,"9,507","9,541","9,541","4,955",1.045
TX201712 台指 2017/12,2017/5/2,2017/12,"9,485","9,508","9,508","2,789",1.045
TX201803 台指 2018/03,2017/5/2,2018/03,"9,441","9,477","9,475","1,169",1.045
TX201705 台指 2017/05,2017/5/3,2017/05,"9,946","9,936","9,937","94,130",1.045
TX201706 台指 2017/06,2017/5/3,2017/06,"9,939","9,923","9,924","8,154",1.045
TX201709 台指 2017/09,2017/5/3,2017/09,"9,552","9,543","9,543","5,236",1.045
TX201712 台指 2017/12,2017/5/3,2017/12,"9,534","9,508","9,508","2,832",1.045
TX201803 台指 2018/03,2017/5/3,2018/03,"9,484","9,476","9,476","1,185",1.045
TX201705 台指 2017/05,2017/5/4,2017/05,"9,951","9,959","9,959","94,747",1.045
TX201706 台指 2017/06,2017/5/4,2017/06,"9,934","9,944","9,945","8,593",1.045
TX201709 台指 2017/09,2017/5/4,2017/09,"9,551","9,554","9,554","5,503",1.045
TX201712 台指 2017/12,2017/5/4,2017/12,"9,521","9,515","9,515","2,902",1.045
TX201803 台指 2018/03,2017/5/4,2018/03,"9,487","9,471","9,471","1,232",1.045
TX201705 台指 2017/05,2017/5/5,2017/05,"9,946","9,889","9,886","90,977",1.045
TX201706 台指 2017/06,2017/5/5,2017/06,"9,932","9,872","9,872","8,207",1.045
TX201709 台指 2017/09,2017/5/5,2017/09,"9,536","9,474","9,474","5,924",1.045
TX201712 台指 2017/12,2017/5/5,2017/12,"9,496","9,436","9,436","3,062",1.045
TX201803 台指 2018/03,2017/5/5,2018/03,"9,460","9,397","9,397","1,291",1.045
TX201705 台指 2017/05,2017/5/8,2017/05,"9,929","9,921","9,921","90,175",1.045
TX201706 台指 2017/06,2017/5/8,2017/06,"9,909","9,907","9,906","8,464",1.045
TX201709 台指 2017/09,2017/5/8,2017/09,"9,512","9,511","9,511","6,172",1.045
TX201712 台指 2017/12,2017/5/8,2017/12,"9,472","9,475","9,475","3,080",1.045
TX201803 台指 2018/03,2017/5/8,2018/03,"9,440","9,440","9,440","1,293",1.045
TX201705 台指 2017/05,2017/5/9,2017/05,"9,916","9,904","9,902","90,192",1.045
TX201706 台指 2017/06,2017/5/9,2017/06,"9,904","9,892","9,890","10,099",1.045
TX201709 台指 2017/09,2017/5/9,2017/09,"9,501","9,499","9,499","6,605",1.045
TX201712 台指 2017/12,2017/5/9,2017/12,"9,486","9,462","9,462","3,217",1.045
TX201803 台指 2018/03,2017/5/9,2018/03,"9,447","9,431","9,431","1,369",1.045
TX201705 台指 2017/05,2017/5/10,2017/05,"9,938","9,947","9,948","91,097",1.045
TX201706 台指 2017/06,2017/5/10,2017/06,"9,928","9,936","9,934","11,172",1.045
TX201709 台指 2017/09,2017/5/10,2017/09,"9,529","9,545","9,545","6,720",1.045
TX201712 台指 2017/12,2017/5/10,2017/12,"9,492","9,511","9,511","3,228",1.045
TX201803 台指 2018/03,2017/5/10,2018/03,"9,459","9,475","9,475","1,356",1.045
TX201705 台指 2017/05,2017/5/11,2017/05,"9,962","9,987","9,988","87,640",1.045
TX201706 台指 2017/06,2017/5/11,2017/06,"9,950","9,976","9,975","17,583",1.045
TX201709 台指 2017/09,2017/5/11,2017/09,"9,556","9,586","9,585","6,898",1.045
TX201712 台指 2017/12,2017/5/11,2017/12,"9,524","9,551","9,551","3,306",1.045
TX201803 台指 2018/03,2017/5/11,2018/03,"9,490","9,512","9,512","1,349",1.045
TX201705 台指 2017/05,2017/5/12,2017/05,"9,982","9,981","9,981","78,965",1.045
TX201706 台指 2017/06,2017/5/12,2017/06,"9,972","9,969","9,969","25,068",1.045
TX201709 台指 2017/09,2017/5/12,2017/09,"9,578","9,576","9,576","7,023",1.045
TX201712 台指 2017/12,2017/5/12,2017/12,"9,536","9,540","9,540","3,349",1.045
TX201803 台指 2018/03,2017/5/12,2018/03,"9,507","9,502","9,502","1,372",1.045
TX201705 台指 2017/05,2017/5/15,2017/05,"9,990","10,028","10,025","56,129",1.045
TX201706 台指 2017/06,2017/5/15,2017/06,"9,973","10,014","10,013","55,645",1.045
TX201709 台指 2017/09,2017/5/15,2017/09,"9,590","9,616","9,615","7,289",1.045
TX201712 台指 2017/12,2017/5/15,2017/12,"9,544","9,578","9,577","3,448",1.045
TX201803 台指 2018/03,2017/5/15,2018/03,"9,503","9,543","9,543","1,379",1.045
TX201705 台指 2017/05,2017/5/16,2017/05,"10,040","10,022","10,021","35,623",1.045
TX201706 台指 2017/06,2017/5/16,2017/06,"10,032","10,009","10,008","74,387",1.045
TX201709 台指 2017/09,2017/5/16,2017/09,"9,631","9,619","9,619","7,575",1.045
TX201712 台指 2017/12,2017/5/16,2017/12,"9,597","9,580","9,580","3,531",1.045
TX201803 台指 2018/03,2017/5/16,2018/03,"9,550","9,540","9,540","1,406",1.045
TX201705 台指 2017/05,2017/5/17,2017/05,"9,993","10,000","10,000","20,699",1.045
TX201706 台指 2017/06,2017/5/17,2017/06,"9,978","9,979","9,979","87,168",1.045
TX201709 台指 2017/09,2017/5/17,2017/09,"9,584","9,586","9,586","7,613",1.045
TX201712 台指 2017/12,2017/5/17,2017/12,"9,557","9,551","9,551","3,574",1.045
TX201803 台指 2018/03,2017/5/17,2018/03,"9,510","9,516","9,516","1,406",1.045
TX201706 台指 2017/06,2017/5/18,2017/06,"9,903","9,951","9,951","92,959",1.045
TX201707 台指 2017/07,2017/5/18,2017/07,"9,729","9,758","9,757","1,456",1.045
TX201709 台指 2017/09,2017/5/18,2017/09,"9,501","9,561","9,560","7,665",1.045
TX201712 台指 2017/12,2017/5/18,2017/12,"9,480","9,524","9,524","3,601",1.045
TX201803 台指 2018/03,2017/5/18,2018/03,"9,414","9,487","9,487","1,407",1.045
TX201706 台指 2017/06,2017/5/19,2017/06,"9,968","9,932","9,932","92,228",1.045
TX201707 台指 2017/07,2017/5/19,2017/07,"9,778","9,741","9,740","1,761",1.045
TX201709 台指 2017/09,2017/5/19,2017/09,"9,570","9,540","9,540","7,722",1.045
TX201712 台指 2017/12,2017/5/19,2017/12,"9,544","9,506","9,506","3,657",1.045
TX201803 台指 2018/03,2017/5/19,2018/03,"9,494","9,465","9,465","1,410",1.045
TX201706 台指 2017/06,2017/5/22,2017/06,"9,965","9,975","9,974","93,244",1.045
TX201707 台指 2017/07,2017/5/22,2017/07,"9,772","9,780","9,779","2,254",1.045
TX201709 台指 2017/09,2017/5/22,2017/09,"9,570","9,579","9,579","8,042",1.045
TX201712 台指 2017/12,2017/5/22,2017/12,"9,540","9,544","9,544","3,681",1.045
TX201803 台指 2018/03,2017/5/22,2018/03,"9,495","9,505","9,505","1,424",1.045
TX201706 台指 2017/06,2017/5/23,2017/06,"9,984","9,994","9,994","94,444",1.045
TX201707 台指 2017/07,2017/5/23,2017/07,"9,793","9,803","9,802","2,877",1.045
TX201709 台指 2017/09,2017/5/23,2017/09,"9,590","9,603","9,603","8,035",1.045
TX201712 台指 2017/12,2017/5/23,2017/12,"9,552","9,566","9,566","3,649",1.045
TX201803 台指 2018/03,2017/5/23,2018/03,"9,511","9,526","9,526","1,526",1.045
TX201706 台指 2017/06,2017/5/24,2017/06,"10,007","10,020","10,020","96,916",1.045
TX201707 台指 2017/07,2017/5/24,2017/07,"9,818","9,826","9,826","3,117",1.045
TX201709 台指 2017/09,2017/5/24,2017/09,"9,609","9,628","9,628","8,021",1.045
TX201712 台指 2017/12,2017/5/24,2017/12,"9,571","9,589","9,589","3,573",1.045
TX201803 台指 2018/03,2017/5/24,2018/03,"9,534","9,551","9,551","1,532",1.045
TX201706 台指 2017/06,2017/5/25,2017/06,"10,042","10,107","10,107","101,794",1.045
TX201707 台指 2017/07,2017/5/25,2017/07,"9,847","9,912","9,912","4,267",1.045
TX201709 台指 2017/09,2017/5/25,2017/09,"9,642","9,715","9,715","8,058",1.045
TX201712 台指 2017/12,2017/5/25,2017/12,"9,605","9,675","9,675","3,587",1.045
TX201803 台指 2018/03,2017/5/25,2018/03,"9,586","9,636","9,636","1,544",1.045
TX201706 台指 2017/06,2017/5/26,2017/06,"10,130","10,093","10,093","97,109",1.045
TX201707 台指 2017/07,2017/5/26,2017/07,"9,942","9,902","9,901","5,318",1.045
TX201709 台指 2017/09,2017/5/26,2017/09,"9,746","9,703","9,703","8,032",1.045
TX201712 台指 2017/12,2017/5/26,2017/12,"9,700","9,665","9,665","3,773",1.045
TX201803 台指 2018/03,2017/5/26,2018/03,"9,651","9,625","9,625","1,558",1.045
TX201706 台指 2017/06,2017/5/31,2017/06,"10,085","10,031","10,029","94,919",1.045
TX201707 台指 2017/07,2017/5/31,2017/07,"9,893","9,847","9,846","7,067",1.045
TX201709 台指 2017/09,2017/5/31,2017/09,"9,698","9,653","9,653","7,998",1.045
TX201712 台指 2017/12,2017/5/31,2017/12,"9,667","9,614","9,614","3,860",1.045
TX201803 台指 2018/03,2017/5/31,2018/03,"9,620","9,574","9,574","1,580",1.045
TX201706 台指 2017/06,2017/6/1,2017/06,"10,030","10,069","10,070","93,799",1.045
TX201707 台指 2017/07,2017/6/1,2017/07,"9,846","9,884","9,886","7,171",1.045
TX201709 台指 2017/09,2017/6/1,2017/09,"9,646","9,694","9,694","8,007",1.045
TX201712 台指 2017/12,2017/6/1,2017/12,"9,609","9,659","9,659","3,940",1.045
TX201803 台指 2018/03,2017/6/1,2018/03,"9,582","9,620","9,620","1,594",1.045
TX201706 台指 2017/06,2017/6/2,2017/06,"10,113","10,135","10,134","92,627",1.045
TX201707 台指 2017/07,2017/6/2,2017/07,"9,931","9,950","9,950","7,389",1.045
TX201709 台指 2017/09,2017/6/2,2017/09,"9,744","9,759","9,759","8,817",1.045
TX201712 台指 2017/12,2017/6/2,2017/12,"9,700","9,725","9,725","4,076",1.045
TX201803 台指 2018/03,2017/6/2,2018/03,"9,656","9,685","9,685","1,618",1.045
TX201706 台指 2017/06,2017/6/3,2017/06,"10,147","10,157","10,156","92,343",1.045
TX201707 台指 2017/07,2017/6/3,2017/07,"9,965","9,970","9,972","7,592",1.045
TX201709 台指 2017/09,2017/6/3,2017/09,"9,775","9,779","9,779","8,827",1.045
TX201712 台指 2017/12,2017/6/3,2017/12,"9,741","9,744","9,744","4,098",1.045
TX201803 台指 2018/03,2017/6/3,2018/03,"9,700","9,707","9,707","1,673",1.045
TX201706 台指 2017/06,2017/6/5,2017/06,"10,148","10,200","10,202","93,579",1.045
TX201707 台指 2017/07,2017/6/5,2017/07,"9,968","10,016","10,017","8,185",1.045
TX201709 台指 2017/09,2017/6/5,2017/09,"9,768","9,828","9,828","9,187",1.045
TX201712 台指 2017/12,2017/6/5,2017/12,"9,725","9,790","9,790","4,135",1.045
TX201803 台指 2018/03,2017/6/5,2018/03,"9,697","9,752","9,753","1,668",1.045
TX201706 台指 2017/06,2017/6/6,2017/06,"10,196","10,185","10,185","92,296",1.045
TX201707 台指 2017/07,2017/6/6,2017/07,"10,015","10,004","10,003","8,614",1.045
TX201709 台指 2017/09,2017/6/6,2017/09,"9,827","9,814","9,814","9,154",1.045
TX201712 台指 2017/12,2017/6/6,2017/12,"9,790","9,777","9,777","4,160",1.045
TX201803 台指 2018/03,2017/6/6,2018/03,"9,747","9,737","9,737","1,688",1.045
TX201706 台指 2017/06,2017/6/7,2017/06,"10,180","10,192","10,191","92,628",1.045
TX201707 台指 2017/07,2017/6/7,2017/07,"9,995","10,010","10,009","8,693",1.045
TX201709 台指 2017/09,2017/6/7,2017/09,"9,810","9,820","9,820","9,182",1.045
TX201712 台指 2017/12,2017/6/7,2017/12,"9,769","9,784","9,784","4,171",1.045
TX201803 台指 2018/03,2017/6/7,2018/03,"9,727","9,747","9,747","1,680",1.045
TX201706 台指 2017/06,2017/6/8,2017/06,"10,204","10,211","10,212","93,937",1.045
TX201707 台指 2017/07,2017/6/8,2017/07,"10,022","10,032","10,033","8,980",1.045
TX201709 台指 2017/09,2017/6/8,2017/09,"9,829","9,852","9,852","9,317",1.045
TX201712 台指 2017/12,2017/6/8,2017/12,"9,793","9,813","9,813","4,160",1.045
TX201803 台指 2018/03,2017/6/8,2018/03,"9,755","9,774","9,774","1,685",1.045
TX201706 台指 2017/06,2017/6/9,2017/06,"10,230","10,192","10,191","91,900",1.045
TX201707 台指 2017/07,2017/6/9,2017/07,"10,048","10,012","10,012","9,610",1.045
TX201709 台指 2017/09,2017/6/9,2017/09,"9,871","9,831","9,831","9,387",1.045
TX201712 台指 2017/12,2017/6/9,2017/12,"9,830","9,789","9,789","4,191",1.045
TX201803 台指 2018/03,2017/6/9,2018/03,"9,795","9,752","9,752","1,707",1.045
TX201706 台指 2017/06,2017/6/12,2017/06,"10,129","10,120","10,118","93,059",1.045
TX201707 台指 2017/07,2017/6/12,2017/07,"9,950","9,940","9,940","10,656",1.045
TX201709 台指 2017/09,2017/6/12,2017/09,"9,771","9,759","9,759","9,498",1.045
TX201712 台指 2017/12,2017/6/12,2017/12,"9,724","9,721","9,721","4,265",1.045
TX201803 台指 2018/03,2017/6/12,2018/03,"9,701","9,684","9,684","1,720",1.045
TX201706 台指 2017/06,2017/6/13,2017/06,"10,123","10,137","10,136","91,154",1.045
TX201707 台指 2017/07,2017/6/13,2017/07,"9,940","9,956","9,957","12,080",1.045
TX201709 台指 2017/09,2017/6/13,2017/09,"9,764","9,779","9,779","9,549",1.045
TX201712 台指 2017/12,2017/6/13,2017/12,"9,729","9,741","9,741","4,271",1.045
TX201803 台指 2018/03,2017/6/13,2018/03,"9,696","9,704","9,704","1,752",1.045
TX201706 台指 2017/06,2017/6/14,2017/06,"10,161","10,065","10,062","85,236",1.045
TX201707 台指 2017/07,2017/6/14,2017/07,"9,980","9,885","9,884","15,009",1.045
TX201709 台指 2017/09,2017/6/14,2017/09,"9,800","9,705","9,704","9,657",1.045
TX201712 台指 2017/12,2017/6/14,2017/12,"9,766","9,666","9,666","4,343",1.045
TX201803 台指 2018/03,2017/6/14,2018/03,"9,739","9,631","9,631","1,755",1.045
TX201706 台指 2017/06,2017/6/15,2017/06,"10,051","10,073","10,072","81,748",1.045
TX201707 台指 2017/07,2017/6/15,2017/07,"9,876","9,892","9,891","20,029",1.045
TX201709 台指 2017/09,2017/6/15,2017/09,"9,688","9,714","9,714","9,859",1.045
TX201712 台指 2017/12,2017/6/15,2017/12,"9,661","9,677","9,677","4,466",1.045
TX201803 台指 2018/03,2017/6/15,2018/03,"9,626","9,640","9,640","1,757",1.045
TX201706 台指 2017/06,2017/6/16,2017/06,"10,078","10,146","10,146","73,970",1.045
TX201707 台指 2017/07,2017/6/16,2017/07,"9,894","9,971","9,969","25,220",1.045
TX201709 台指 2017/09,2017/6/16,2017/09,"9,726","9,792","9,792","10,203",1.045
TX201712 台指 2017/12,2017/6/16,2017/12,"9,686","9,754","9,754","4,456",1.045
TX201803 台指 2018/03,2017/6/16,2018/03,"9,639","9,719","9,719","1,750",1.045
TX201706 台指 2017/06,2017/6/19,2017/06,"10,164","10,239","10,240","54,626",1.045
TX201707 台指 2017/07,2017/6/19,2017/07,"9,989","10,067","10,067","48,841",1.045
TX201709 台指 2017/09,2017/6/19,2017/09,"9,810","9,892","9,893","10,394",1.045
TX201712 台指 2017/12,2017/6/19,2017/12,"9,769","9,858","9,858","4,687",1.045
TX201803 台指 2018/03,2017/6/19,2018/03,"9,743","9,819","9,819","1,767",1.045
TX201706 台指 2017/06,2017/6/20,2017/06,"10,276","10,322","10,322","38,489",1.045
TX201707 台指 2017/07,2017/6/20,2017/07,"10,106","10,163","10,162","66,929",1.045
TX201709 台指 2017/09,2017/6/20,2017/09,"9,931","10,000","9,999","10,539",1.045
TX201712 台指 2017/12,2017/6/20,2017/12,"9,898","9,962","9,962","4,909",1.045
TX201803 台指 2018/03,2017/6/20,2018/03,"9,861","9,922","9,922","1,860",1.045
TX201706 台指 2017/06,2017/6/21,2017/06,"10,273","10,369","10,369","23,685",1.045
TX201707 台指 2017/07,2017/6/21,2017/07,"10,111","10,178","10,176","85,193",1.045
TX201709 台指 2017/09,2017/6/21,2017/09,"9,963","10,015","10,016","9,791",1.045
TX201712 台指 2017/12,2017/6/21,2017/12,"9,913","9,978","9,977","4,750",1.045
TX201803 台指 2018/03,2017/6/21,2018/03,"9,880","9,938","9,938","1,760",1.045
TX201707 台指 2017/07,2017/6/22,2017/07,"10,198","10,231","10,231","85,841",1.045
TX201708 台指 2017/08,2017/6/22,2017/08,"10,098","10,131","10,129","1,824",1.045
TX201709 台指 2017/09,2017/6/22,2017/09,"10,032","10,077","10,074","9,889",1.045
TX201712 台指 2017/12,2017/6/22,2017/12,"9,996","10,040","10,038","4,664",1.045
TX201803 台指 2018/03,2017/6/22,2018/03,"9,963","10,002","10,000","1,806",1.045
TX201707 台指 2017/07,2017/6/23,2017/07,"10,221","10,215","10,215","86,643",1.045
TX201708 台指 2017/08,2017/6/23,2017/08,"10,121","10,109","10,108","2,196",1.045
TX201709 台指 2017/09,2017/6/23,2017/09,"10,056","10,060","10,060","10,032",1.045
TX201712 台指 2017/12,2017/6/23,2017/12,"10,030","10,026","10,026","4,808",1.045
TX201803 台指 2018/03,2017/6/23,2018/03,"9,993","9,988","9,988","1,820",1.045
TX201707 台指 2017/07,2017/6/26,2017/07,"10,207","10,381","10,381","91,011",1.045
TX201708 台指 2017/08,2017/6/26,2017/08,"10,098","10,284","10,284","3,229",1.045
TX201709 台指 2017/09,2017/6/26,2017/09,"10,047","10,270","10,269","10,313",1.045
TX201712 台指 2017/12,2017/6/26,2017/12,"10,024","10,234","10,234","4,999",1.045
TX201803 台指 2018/03,2017/6/26,2018/03,"9,988","10,203","10,203","1,842",1.045
TX201707 台指 2017/07,2017/6/27,2017/07,"10,390","10,368","10,368","91,255",1.045
TX201708 台指 2017/08,2017/6/27,2017/08,"10,298","10,269","10,268","4,768",1.045
TX201709 台指 2017/09,2017/6/27,2017/09,"10,270","10,252","10,252","10,102",1.045
TX201712 台指 2017/12,2017/6/27,2017/12,"10,238","10,222","10,222","5,215",1.045
TX201803 台指 2018/03,2017/6/27,2018/03,"10,219","10,192","10,192","1,934",1.045
TX201707 台指 2017/07,2017/6/28,2017/07,"10,303","10,261","10,261","89,423",1.045
TX201708 台指 2017/08,2017/6/28,2017/08,"10,197","10,156","10,157","5,132",1.045
TX201709 台指 2017/09,2017/6/28,2017/09,"10,185","10,141","10,141","9,960",1.045
TX201712 台指 2017/12,2017/6/28,2017/12,"10,155","10,114","10,114","5,303",1.045
TX201803 台指 2018/03,2017/6/28,2018/03,"10,130","10,087","10,087","1,932",1.045
TX201707 台指 2017/07,2017/6/29,2017/07,"10,325","10,297","10,295","90,363",1.045
TX201708 台指 2017/08,2017/6/29,2017/08,"10,222","10,193","10,193","5,984",1.045
TX201709 台指 2017/09,2017/6/29,2017/09,"10,200","10,170","10,170","9,820",1.045
TX201712 台指 2017/12,2017/6/29,2017/12,"10,175","10,143","10,143","5,388",1.045
TX201803 台指 2018/03,2017/6/29,2018/03,"10,147","10,115","10,114","1,971",1.045
TX201707 台指 2017/07,2017/6/30,2017/07,"10,220","10,252","10,252","90,419",1.045
TX201708 台指 2017/08,2017/6/30,2017/08,"10,115","10,150","10,150","6,664",1.045
TX201709 台指 2017/09,2017/6/30,2017/09,"10,095","10,133","10,131","9,884",1.045
TX201712 台指 2017/12,2017/6/30,2017/12,"10,066","10,103","10,101","5,462",1.045
TX201803 台指 2018/03,2017/6/30,2018/03,"10,030","10,070","10,070","2,019",1.045
TX201707 台指 2017/07,2017/7/3,2017/07,"10,260","10,289","10,288","90,073",1.045
TX201708 台指 2017/08,2017/7/3,2017/08,"10,162","10,186","10,184","6,879",1.045
TX201709 台指 2017/09,2017/7/3,2017/09,"10,138","10,164","10,164","9,909",1.045
TX201712 台指 2017/12,2017/7/3,2017/12,"10,117","10,136","10,136","5,718",1.045
TX201803 台指 2018/03,2017/7/3,2018/03,"10,074","10,101","10,101","2,035",1.045
TX201707 台指 2017/07,2017/7/4,2017/07,"10,303","10,217","10,215","92,170",1.045
TX201708 台指 2017/08,2017/7/4,2017/08,"10,204","10,113","10,113","7,232",1.045
TX201709 台指 2017/09,2017/7/4,2017/09,"10,168","10,089","10,089","9,900",1.045
TX201712 台指 2017/12,2017/7/4,2017/12,"10,150","10,061","10,061","5,758",1.045
TX201803 台指 2018/03,2017/7/4,2018/03,"10,126","10,030","10,030","2,076",1.045
TX201707 台指 2017/07,2017/7/5,2017/07,"10,215","10,301","10,299","91,211",1.045
TX201708 台指 2017/08,2017/7/5,2017/08,"10,115","10,195","10,193","7,560",1.045
TX201709 台指 2017/09,2017/7/5,2017/09,"10,103","10,165","10,165","9,974",1.045
TX201712 台指 2017/12,2017/7/5,2017/12,"10,069","10,136","10,136","5,831",1.045
TX201803 台指 2018/03,2017/7/5,2018/03,"10,035","10,103","10,103","2,111",1.045
TX201707 台指 2017/07,2017/7/6,2017/07,"10,323","10,267","10,267","88,684",1.045
TX201708 台指 2017/08,2017/7/6,2017/08,"10,220","10,163","10,161","7,702",1.045
TX201709 台指 2017/09,2017/7/6,2017/09,"10,190","10,135","10,135","9,964",1.045
TX201712 台指 2017/12,2017/7/6,2017/12,"10,163","10,099","10,099","5,840",1.045
TX201803 台指 2018/03,2017/7/6,2018/03,"10,117","10,067","10,067","2,122",1.045
TX201707 台指 2017/07,2017/7/7,2017/07,"10,225","10,203","10,202","89,129",1.045
TX201708 台指 2017/08,2017/7/7,2017/08,"10,114","10,100","10,099","7,995",1.045
TX201709 台指 2017/09,2017/7/7,2017/09,"10,087","10,071","10,071","9,961",1.045
TX201712 台指 2017/12,2017/7/7,2017/12,"10,054","10,040","10,040","5,847",1.045
TX201803 台指 2018/03,2017/7/7,2018/03,"10,028","10,009","10,009","2,103",1.045
TX201707 台指 2017/07,2017/7/10,2017/07,"10,226","10,210","10,209","88,866",1.045
TX201708 台指 2017/08,2017/7/10,2017/08,"10,122","10,106","10,106","8,291",1.045
TX201709 台指 2017/09,2017/7/10,2017/09,"10,091","10,079","10,079","9,978",1.045
TX201712 台指 2017/12,2017/7/10,2017/12,"10,069","10,048","10,048","5,835",1.045
TX201803 台指 2018/03,2017/7/10,2018/03,"10,039","10,015","10,015","2,088",1.045
TX201707 台指 2017/07,2017/7/11,2017/07,"10,232","10,342","10,342","92,716",1.045
TX201708 台指 2017/08,2017/7/11,2017/08,"10,126","10,237","10,236","9,349",1.045
TX201709 台指 2017/09,2017/7/11,2017/09,"10,100","10,207","10,206","10,285",1.045
TX201712 台指 2017/12,2017/7/11,2017/12,"10,076","10,175","10,175","5,874",1.045
TX201803 台指 2018/03,2017/7/11,2018/03,"10,044","10,150","10,150","2,098",1.045
TX201707 台指 2017/07,2017/7/12,2017/07,"10,346","10,339","10,339","89,367",1.045
TX201708 台指 2017/08,2017/7/12,2017/08,"10,240","10,230","10,229","10,031",1.045
TX201709 台指 2017/09,2017/7/12,2017/09,"10,212","10,200","10,200","10,357",1.045
TX201712 台指 2017/12,2017/7/12,2017/12,"10,169","10,169","10,169","5,970",1.045
TX201803 台指 2018/03,2017/7/12,2018/03,"10,150","10,142","10,142","2,168",1.045
TX201707 台指 2017/07,2017/7/13,2017/07,"10,393","10,420","10,419","83,013",1.045
TX201708 台指 2017/08,2017/7/13,2017/08,"10,278","10,307","10,306","11,881",1.045
TX201709 台指 2017/09,2017/7/13,2017/09,"10,250","10,278","10,279","10,449",1.045
TX201712 台指 2017/12,2017/7/13,2017/12,"10,218","10,253","10,253","5,975",1.045
TX201803 台指 2018/03,2017/7/13,2018/03,"10,186","10,222","10,222","2,162",1.045
TX201707 台指 2017/07,2017/7/14,2017/07,"10,420","10,403","10,403","76,297",1.045
TX201708 台指 2017/08,2017/7/14,2017/08,"10,310","10,293","10,292","17,253",1.045
TX201709 台指 2017/09,2017/7/14,2017/09,"10,279","10,265","10,264","10,523",1.045
TX201712 台指 2017/12,2017/7/14,2017/12,"10,245","10,237","10,237","5,949",1.045
TX201803 台指 2018/03,2017/7/14,2018/03,"10,227","10,207","10,207","2,171",1.045
TX201707 台指 2017/07,2017/7/17,2017/07,"10,458","10,436","10,435","58,023",1.045
TX201708 台指 2017/08,2017/7/17,2017/08,"10,343","10,320","10,319","41,072",1.045
TX201709 台指 2017/09,2017/7/17,2017/09,"10,317","10,294","10,294","11,046",1.045
TX201712 台指 2017/12,2017/7/17,2017/12,"10,290","10,262","10,262","5,992",1.045
TX201803 台指 2018/03,2017/7/17,2018/03,"10,267","10,230","10,230","2,194",1.045
TX201707 台指 2017/07,2017/7/18,2017/07,"10,427","10,462","10,462","40,992",1.045
TX201708 台指 2017/08,2017/7/18,2017/08,"10,312","10,344","10,345","56,592",1.045
TX201709 台指 2017/09,2017/7/18,2017/09,"10,289","10,317","10,317","11,216",1.045
TX201712 台指 2017/12,2017/7/18,2017/12,"10,252","10,290","10,290","6,174",1.045
TX201803 台指 2018/03,2017/7/18,2018/03,"10,216","10,257","10,257","2,205",1.045
TX201707 台指 2017/07,2017/7/19,2017/07,"10,479","10,500","10,500","23,819",1.045
TX201708 台指 2017/08,2017/7/19,2017/08,"10,358","10,386","10,384","69,765",1.045
TX201709 台指 2017/09,2017/7/19,2017/09,"10,333","10,357","10,356","11,574",1.045
